cluster,framework,profile,FR,APFD,APFD_time,TTF,TTF_seconds,total_seconds
C1,AdaStop,CLEAN,0.4,0.44025,17.61,4.0,32.61036294299993,32.610407194999425
C1,F-Oracle,CLEAN,0.09,0.4072222222222222,3.665,6.0,1.0150176419992931,18.511617358000876
C1,CUSUM-RL,CLEAN,0.08,0.52625,4.21,3.0,1.1820427969996672,32.09143036400019
C1,DLBT,CLEAN,0.1226666666666666,0.5198840579710144,47.82933333333333,6.0,1.9342262409991235,231.94187449799938
C2,QD-Testing,CLEAN,0.08,0.60109375,9.6175,1.0,0.43615127799967013,51.962226913999984
C2,STARLA,CLEAN,0.35,0.5408571428571428,18.93,1.0,27.04095456000141,32.50468457399984
C2,AlphaTest,CLEAN,0.35,0.5188571428571429,18.16,1.0,0.33426429300016025,18.30230370800018
C2,Indago,CLEAN,1.0,0.49995,49.995,1.0,0.0037237440010358114,2.3874749059996248
C3,CureFuzz,CLEAN,0.39,0.5620512820512821,21.92,1.0,0.0052453660009632586,18.249079387000165
C3,GMBT,CLEAN,0.6,0.4695833333333333,28.175,1.0,0.01520449099916732,22.31110544599869
C3,pi-Fuzz,CLEAN,0.06,0.5044444444444445,9.08,5.0,2.1762809320007364,136.92791313999987
C3,MDPFuzz,CLEAN,0.36,0.5291666666666667,19.05,2.0,0.7191084360001696,37.626570637999976
C3,SBF,CLEAN,0.45,0.4767777777777778,21.455,2.0,1.3584968359991763,23.008063503999438
C3,NR-RL,repr,0.09,0.5083333333333333,4.575,15.0,1.6210915880001266,15.212418844999775
C4,Î¼PRL,mutants_interleaved_1500,0.4343434343434343,0.4295278365045807,18.46969696969697,2.0,26.312329908998436,26.32248935499956
C4,FS,spec,0.4,0.54825,21.93,3.0,2.369466721000208,24.692072486999677
C4,RLMutation,mutants_interleaved_1500,0.37,0.5374324324324324,19.885,5.0,59.377026738000495,59.37709558700044
