idx,mu,return,steps,failure
0,0.6470588235294118,4.0,17,False
1,0.7272727272727273,10.0,11,False
2,0.6153846153846154,8.0,13,False
3,0.7142857142857143,7.0,14,False
4,0.7777777777777778,12.0,9,False
5,0.6428571428571429,7.0,14,False
6,0.6111111111111112,3.0,18,False
7,0.5625,5.0,16,False
8,0.625,5.0,16,False
9,0.6363636363636364,10.0,11,False
10,0.5625,5.0,16,False
11,0.7142857142857143,14.0,7,False
12,0.5833333333333334,9.0,12,False
13,0.5833333333333334,9.0,12,False
14,0.5555555555555556,3.0,18,False
15,0.6428571428571429,7.0,14,False
16,0.3333333333333333,12.0,9,False
17,0.6666666666666666,9.0,12,False
18,0.75,13.0,8,False
19,0.5384615384615384,8.0,13,False
20,0.3333333333333333,12.0,9,False
21,0.6923076923076923,8.0,13,False
22,0.6153846153846154,8.0,13,False
23,0.75,9.0,12,False
24,0.6923076923076923,8.0,13,False
25,0.7272727272727273,10.0,11,False
26,0.8181818181818182,10.0,11,False
27,0.6153846153846154,8.0,13,False
28,0.6,6.0,15,False
29,0.6363636363636364,10.0,11,False
30,0.38461538461538464,8.0,13,False
31,0.7142857142857143,7.0,14,False
32,0.5625,5.0,16,False
33,0.8,11.0,10,False
34,0.45454545454545453,10.0,11,False
35,0.7777777777777778,12.0,9,False
36,0.5833333333333334,9.0,12,False
37,0.7692307692307693,8.0,13,False
38,0.6666666666666666,12.0,9,False
39,0.7692307692307693,8.0,13,False
40,0.5882352941176471,4.0,17,False
41,0.6470588235294118,4.0,17,False
42,0.7857142857142857,7.0,14,False
43,0.7333333333333333,6.0,15,False
44,0.42857142857142855,7.0,14,False
45,0.7272727272727273,10.0,11,False
46,0.7777777777777778,12.0,9,False
47,0.5625,5.0,16,False
48,0.6923076923076923,8.0,13,False
49,0.6428571428571429,7.0,14,False
50,0.6923076923076923,8.0,13,False
51,0.7142857142857143,14.0,7,False
52,0.6666666666666666,9.0,12,False
53,0.6153846153846154,8.0,13,False
54,0.6470588235294118,4.0,17,False
55,0.4666666666666667,6.0,15,False
56,0.5384615384615384,8.0,13,False
57,0.3333333333333333,6.0,15,False
58,0.7272727272727273,10.0,11,False
59,0.6666666666666666,9.0,12,False
60,0.6428571428571429,7.0,14,False
61,0.5,9.0,12,False
62,0.7692307692307693,8.0,13,False
63,0.6666666666666666,15.0,6,False
64,0.4,6.0,15,False
65,0.5,11.0,10,False
66,0.6666666666666666,6.0,15,False
67,0.625,5.0,16,False
68,0.5384615384615384,8.0,13,False
69,0.6,6.0,15,False
70,0.6923076923076923,8.0,13,False
71,0.5454545454545454,10.0,11,False
72,0.6153846153846154,8.0,13,False
73,0.7272727272727273,10.0,11,False
74,0.5625,5.0,16,False
75,0.7692307692307693,8.0,13,False
76,0.5625,5.0,16,False
77,0.6666666666666666,6.0,15,False
78,0.6153846153846154,8.0,13,False
79,0.7272727272727273,10.0,11,False
80,0.8333333333333334,9.0,12,False
81,0.5,5.0,16,False
82,0.5555555555555556,3.0,18,False
83,0.6111111111111112,3.0,18,False
84,0.5,5.0,16,False
85,0.7272727272727273,10.0,11,False
86,0.75,9.0,12,False
87,0.5714285714285714,7.0,14,False
88,0.7142857142857143,7.0,14,False
89,0.5555555555555556,12.0,9,False
90,0.5555555555555556,12.0,9,False
91,0.625,5.0,16,False
92,0.5333333333333333,6.0,15,False
93,0.5882352941176471,4.0,17,False
94,0.5333333333333333,6.0,15,False
95,0.7692307692307693,8.0,13,False
96,0.6923076923076923,8.0,13,False
97,0.38461538461538464,8.0,13,False
98,0.7777777777777778,12.0,9,False
99,0.625,5.0,16,False
100,0.5714285714285714,7.0,14,False
101,0.625,5.0,16,False
102,0.8181818181818182,10.0,11,False
103,0.42857142857142855,7.0,14,False
104,0.6666666666666666,6.0,15,False
105,0.6666666666666666,9.0,12,False
106,0.5384615384615384,8.0,13,False
107,0.7,11.0,10,False
108,0.5833333333333334,9.0,12,False
109,0.8333333333333334,9.0,12,False
110,0.5294117647058824,4.0,17,False
111,0.6666666666666666,9.0,12,False
112,0.6875,5.0,16,False
113,0.5333333333333333,6.0,15,False
114,0.7272727272727273,10.0,11,False
115,0.6153846153846154,8.0,13,False
116,0.625,5.0,16,False
117,0.6470588235294118,4.0,17,False
118,0.6428571428571429,7.0,14,False
119,0.45454545454545453,10.0,11,False
120,0.5333333333333333,6.0,15,False
121,0.3333333333333333,12.0,9,False
122,0.7142857142857143,7.0,14,False
123,0.6428571428571429,7.0,14,False
124,0.7,11.0,10,False
125,0.5714285714285714,7.0,14,False
126,0.5,5.0,16,False
127,0.3333333333333333,6.0,15,False
128,0.7272727272727273,10.0,11,False
129,0.7777777777777778,12.0,9,False
130,0.6,11.0,10,False
131,0.46153846153846156,8.0,13,False
132,0.7857142857142857,7.0,14,False
133,0.42857142857142855,7.0,14,False
134,0.7142857142857143,7.0,14,False
135,0.5882352941176471,4.0,17,False
136,0.6666666666666666,12.0,9,False
137,0.5833333333333334,9.0,12,False
138,0.5625,5.0,16,False
139,0.75,9.0,12,False
140,0.6,6.0,15,False
141,0.5294117647058824,4.0,17,False
142,0.5384615384615384,8.0,13,False
143,0.6,6.0,15,False
144,0.6923076923076923,8.0,13,False
145,0.46153846153846156,8.0,13,False
146,0.5333333333333333,6.0,15,False
147,0.6153846153846154,8.0,13,False
148,0.6666666666666666,9.0,12,False
149,0.7272727272727273,10.0,11,False
150,0.5833333333333334,9.0,12,False
151,0.8181818181818182,10.0,11,False
152,0.8,11.0,10,False
153,0.6153846153846154,8.0,13,False
154,0.6666666666666666,12.0,9,False
155,0.625,5.0,16,False
156,0.6153846153846154,8.0,13,False
157,0.8181818181818182,10.0,11,False
158,0.5,7.0,14,False
159,0.6666666666666666,15.0,6,False
160,0.7142857142857143,7.0,14,False
161,0.5384615384615384,8.0,13,False
162,0.6,11.0,10,False
163,0.625,5.0,16,False
164,0.45454545454545453,10.0,11,False
165,0.6153846153846154,8.0,13,False
166,0.6428571428571429,7.0,14,False
167,0.6875,5.0,16,False
168,0.6666666666666666,9.0,12,False
169,0.5,5.0,16,False
170,0.6428571428571429,7.0,14,False
171,0.5625,5.0,16,False
172,0.6363636363636364,10.0,11,False
173,0.5384615384615384,8.0,13,False
174,0.6,11.0,10,False
175,0.4375,5.0,16,False
176,0.75,9.0,12,False
177,0.5454545454545454,10.0,11,False
178,0.8,11.0,10,False
179,0.7142857142857143,7.0,14,False
180,0.5882352941176471,4.0,17,False
181,0.5333333333333333,6.0,15,False
182,0.6666666666666666,9.0,12,False
183,0.7272727272727273,10.0,11,False
184,0.5,5.0,16,False
185,0.5,11.0,10,False
186,0.5454545454545454,10.0,11,False
187,0.8,11.0,10,False
188,0.8,11.0,10,False
189,0.6363636363636364,10.0,11,False
190,0.7692307692307693,8.0,13,False
191,0.7777777777777778,12.0,9,False
192,0.5625,5.0,16,False
193,0.6666666666666666,9.0,12,False
194,0.625,5.0,16,False
195,0.5,9.0,12,False
196,0.6470588235294118,4.0,17,False
197,0.5882352941176471,4.0,17,False
198,0.6153846153846154,8.0,13,False
199,0.5555555555555556,12.0,9,False
200,0.6666666666666666,12.0,9,False
201,0.7,11.0,10,False
202,0.5454545454545454,10.0,11,False
203,0.8,11.0,10,False
204,0.5,5.0,16,False
205,0.5555555555555556,3.0,18,False
206,0.5833333333333334,9.0,12,False
207,0.6153846153846154,8.0,13,False
208,0.8,11.0,10,False
209,0.35714285714285715,7.0,14,False
210,0.42857142857142855,7.0,14,False
211,0.5,11.0,10,False
212,0.5294117647058824,4.0,17,False
213,0.5833333333333334,9.0,12,False
214,0.5454545454545454,10.0,11,False
215,0.6,6.0,15,False
216,0.6,11.0,10,False
217,0.5833333333333334,9.0,12,False
218,0.6153846153846154,8.0,13,False
219,0.6428571428571429,7.0,14,False
220,0.6363636363636364,10.0,11,False
221,0.625,5.0,16,False
222,0.6,6.0,15,False
223,0.6428571428571429,7.0,14,False
224,0.5833333333333334,9.0,12,False
225,0.7777777777777778,12.0,9,False
226,0.5384615384615384,8.0,13,False
227,0.7777777777777778,12.0,9,False
228,0.5882352941176471,4.0,17,False
229,0.6666666666666666,12.0,9,False
230,0.6,6.0,15,False
231,0.5714285714285714,7.0,14,False
232,0.35714285714285715,7.0,14,False
233,0.35714285714285715,7.0,14,False
234,0.6,6.0,15,False
235,0.6666666666666666,9.0,12,False
236,0.5384615384615384,8.0,13,False
237,0.75,9.0,12,False
238,0.5833333333333334,9.0,12,False
239,0.5882352941176471,4.0,17,False
240,0.8,11.0,10,False
241,0.6666666666666666,12.0,9,False
242,0.6,11.0,10,False
243,0.6666666666666666,6.0,15,False
244,0.7,11.0,10,False
245,0.8,11.0,10,False
246,0.6111111111111112,3.0,18,False
247,0.5833333333333334,9.0,12,False
248,0.6428571428571429,7.0,14,False
249,0.38461538461538464,8.0,13,False
250,0.6666666666666666,9.0,12,False
251,0.6153846153846154,8.0,13,False
252,0.45454545454545453,10.0,11,False
253,0.5,5.0,16,False
254,0.5625,5.0,16,False
255,0.5882352941176471,4.0,17,False
256,0.6153846153846154,8.0,13,False
257,0.6153846153846154,8.0,13,False
258,0.5294117647058824,4.0,17,False
259,0.7777777777777778,12.0,9,False
260,0.7333333333333333,6.0,15,False
261,0.6,6.0,15,False
262,0.4,11.0,10,False
263,0.6923076923076923,8.0,13,False
264,0.6,6.0,15,False
265,0.5454545454545454,10.0,11,False
266,0.6428571428571429,7.0,14,False
267,0.5,11.0,10,False
268,0.6666666666666666,12.0,9,False
269,0.5384615384615384,8.0,13,False
270,0.625,5.0,16,False
271,0.4666666666666667,6.0,15,False
272,0.75,13.0,8,False
273,0.8,11.0,10,False
274,0.7692307692307693,8.0,13,False
275,0.4666666666666667,6.0,15,False
276,0.5,5.0,16,False
277,0.5714285714285714,7.0,14,False
278,0.7272727272727273,10.0,11,False
279,0.5625,5.0,16,False
280,0.6428571428571429,7.0,14,False
281,0.625,5.0,16,False
282,0.5882352941176471,4.0,17,False
283,0.6,6.0,15,False
284,0.6428571428571429,7.0,14,False
285,0.6428571428571429,7.0,14,False
286,0.5454545454545454,10.0,11,False
287,0.6363636363636364,10.0,11,False
288,0.5333333333333333,6.0,15,False
289,0.7272727272727273,10.0,11,False
290,0.7692307692307693,8.0,13,False
291,0.4,11.0,10,False
292,0.6363636363636364,10.0,11,False
293,0.6666666666666666,9.0,12,False
294,0.6470588235294118,4.0,17,False
295,0.5384615384615384,8.0,13,False
296,0.5714285714285714,7.0,14,False
297,0.5714285714285714,7.0,14,False
298,0.5714285714285714,7.0,14,False
299,0.5454545454545454,10.0,11,False
300,0.6428571428571429,7.0,14,False
301,0.6666666666666666,9.0,12,False
302,0.6666666666666666,6.0,15,False
303,0.5555555555555556,3.0,18,False
304,0.7272727272727273,10.0,11,False
305,0.5454545454545454,10.0,11,False
306,0.6363636363636364,10.0,11,False
307,0.625,5.0,16,False
308,0.7777777777777778,12.0,9,False
309,0.5833333333333334,9.0,12,False
310,0.6,6.0,15,False
311,0.7777777777777778,12.0,9,False
312,0.6363636363636364,10.0,11,False
313,0.8181818181818182,10.0,11,False
314,0.4117647058823529,4.0,17,False
315,0.5833333333333334,9.0,12,False
316,0.75,9.0,12,False
317,0.8,11.0,10,False
318,0.5,9.0,12,False
319,0.5454545454545454,10.0,11,False
320,0.6470588235294118,4.0,17,False
321,0.6666666666666666,9.0,12,False
322,0.6428571428571429,7.0,14,False
323,0.7142857142857143,14.0,7,False
324,0.6428571428571429,7.0,14,False
325,0.6153846153846154,8.0,13,False
326,0.5714285714285714,7.0,14,False
327,0.75,13.0,8,False
328,0.75,9.0,12,False
329,0.6111111111111112,3.0,18,False
330,0.75,9.0,12,False
331,0.7272727272727273,10.0,11,False
332,0.6666666666666666,6.0,15,False
333,0.6,6.0,15,False
334,0.38461538461538464,8.0,13,False
335,0.75,9.0,12,False
336,0.6,6.0,15,False
337,0.75,13.0,8,False
338,0.6111111111111112,3.0,18,False
339,0.6,11.0,10,False
340,0.5,11.0,10,False
341,0.5454545454545454,10.0,11,False
342,0.7,11.0,10,False
343,0.6666666666666666,6.0,15,False
344,0.5625,5.0,16,False
345,0.6,6.0,15,False
346,0.5555555555555556,3.0,18,False
347,0.6428571428571429,7.0,14,False
348,0.5625,5.0,16,False
349,0.75,9.0,12,False
350,0.7272727272727273,10.0,11,False
351,0.6666666666666666,9.0,12,False
352,0.6428571428571429,7.0,14,False
353,0.5833333333333334,9.0,12,False
354,0.6153846153846154,8.0,13,False
355,0.7142857142857143,14.0,7,False
356,0.3333333333333333,12.0,9,False
357,0.6666666666666666,9.0,12,False
358,0.8181818181818182,10.0,11,False
359,0.5384615384615384,8.0,13,False
360,0.5384615384615384,8.0,13,False
361,0.6428571428571429,7.0,14,False
362,0.7777777777777778,12.0,9,False
363,0.8333333333333334,9.0,12,False
364,0.7142857142857143,14.0,7,False
365,0.5333333333333333,6.0,15,False
366,0.5833333333333334,9.0,12,False
367,0.5,9.0,12,False
368,0.6,11.0,10,False
369,0.45454545454545453,10.0,11,False
370,0.5714285714285714,7.0,14,False
371,0.7142857142857143,7.0,14,False
372,0.6666666666666666,9.0,12,False
373,0.5384615384615384,8.0,13,False
374,0.4,11.0,10,False
375,0.7272727272727273,10.0,11,False
376,0.5625,5.0,16,False
377,0.7777777777777778,12.0,9,False
378,0.7857142857142857,7.0,14,False
379,0.6666666666666666,9.0,12,False
380,0.5714285714285714,7.0,14,False
381,0.625,5.0,16,False
382,0.5,11.0,10,False
383,0.4,11.0,10,False
384,0.7272727272727273,10.0,11,False
385,0.5333333333333333,6.0,15,False
386,0.6923076923076923,8.0,13,False
387,0.5833333333333334,9.0,12,False
388,0.5,5.0,16,False
389,0.4,6.0,15,False
390,0.5454545454545454,10.0,11,False
391,0.7272727272727273,10.0,11,False
392,0.5882352941176471,4.0,17,False
393,0.5714285714285714,7.0,14,False
394,0.3333333333333333,12.0,9,False
395,0.6363636363636364,10.0,11,False
396,0.5714285714285714,7.0,14,False
397,0.46153846153846156,8.0,13,False
398,0.625,5.0,16,False
399,0.7,11.0,10,False
400,0.5454545454545454,10.0,11,False
401,0.6,6.0,15,False
402,0.6428571428571429,7.0,14,False
403,0.6428571428571429,7.0,14,False
404,0.6666666666666666,6.0,15,False
405,0.6,11.0,10,False
406,0.7142857142857143,14.0,7,False
407,0.6875,5.0,16,False
408,0.6666666666666666,6.0,15,False
409,0.5625,5.0,16,False
410,0.7857142857142857,7.0,14,False
411,0.6666666666666666,6.0,15,False
412,0.7692307692307693,8.0,13,False
413,0.625,5.0,16,False
414,0.5384615384615384,8.0,13,False
415,0.8,11.0,10,False
416,0.7142857142857143,14.0,7,False
417,0.4375,5.0,16,False
418,0.6,6.0,15,False
419,0.6111111111111112,3.0,18,False
420,0.7777777777777778,12.0,9,False
421,0.42857142857142855,7.0,14,False
422,0.45454545454545453,10.0,11,False
423,0.6666666666666666,9.0,12,False
424,0.6666666666666666,15.0,6,False
425,0.6,11.0,10,False
426,0.5555555555555556,3.0,18,False
427,0.5294117647058824,4.0,17,False
428,0.7,11.0,10,False
429,0.5,7.0,14,False
430,0.6666666666666666,15.0,6,False
431,0.4166666666666667,9.0,12,False
432,0.7272727272727273,10.0,11,False
433,0.6153846153846154,8.0,13,False
434,0.7692307692307693,8.0,13,False
435,0.5833333333333334,9.0,12,False
436,0.7142857142857143,7.0,14,False
437,0.625,5.0,16,False
438,0.4117647058823529,4.0,17,False
439,0.6428571428571429,7.0,14,False
440,0.46153846153846156,8.0,13,False
441,0.5882352941176471,4.0,17,False
442,0.7142857142857143,7.0,14,False
443,0.6,6.0,15,False
444,0.6363636363636364,10.0,11,False
445,0.5882352941176471,4.0,17,False
446,0.5555555555555556,3.0,18,False
447,0.625,5.0,16,False
448,0.625,5.0,16,False
449,0.3333333333333333,12.0,9,False
450,0.7,11.0,10,False
451,0.6923076923076923,8.0,13,False
452,0.5882352941176471,4.0,17,False
453,0.8,11.0,10,False
454,0.6470588235294118,4.0,17,False
455,0.6,6.0,15,False
456,0.6,6.0,15,False
457,0.6470588235294118,4.0,17,False
458,0.7857142857142857,7.0,14,False
459,0.7142857142857143,7.0,14,False
460,0.7777777777777778,12.0,9,False
461,0.5,7.0,14,False
462,0.7142857142857143,14.0,7,False
463,0.5882352941176471,4.0,17,False
464,0.7,11.0,10,False
465,0.4666666666666667,6.0,15,False
466,0.6153846153846154,8.0,13,False
467,0.4666666666666667,6.0,15,False
468,0.7777777777777778,12.0,9,False
469,0.5384615384615384,8.0,13,False
470,0.5384615384615384,8.0,13,False
471,0.5714285714285714,7.0,14,False
472,0.625,5.0,16,False
473,0.7,11.0,10,False
474,0.5454545454545454,10.0,11,False
475,0.5714285714285714,7.0,14,False
476,0.5454545454545454,10.0,11,False
477,0.5333333333333333,6.0,15,False
478,0.5882352941176471,4.0,17,False
479,0.75,13.0,8,False
480,0.75,9.0,12,False
481,0.625,5.0,16,False
482,0.625,5.0,16,False
483,0.6875,5.0,16,False
484,0.6666666666666666,9.0,12,False
485,0.3333333333333333,6.0,15,False
486,0.6666666666666666,12.0,9,False
487,0.5294117647058824,4.0,17,False
488,0.5714285714285714,7.0,14,False
489,0.6111111111111112,3.0,18,False
490,0.8,11.0,10,False
491,0.7142857142857143,7.0,14,False
492,0.46153846153846156,8.0,13,False
493,0.5,9.0,12,False
494,0.75,13.0,8,False
495,0.6428571428571429,7.0,14,False
496,0.6428571428571429,7.0,14,False
497,0.8181818181818182,10.0,11,False
498,0.5833333333333334,9.0,12,False
499,0.7,11.0,10,False
500,0.6153846153846154,8.0,13,False
501,0.7142857142857143,14.0,7,False
502,0.7857142857142857,7.0,14,False
503,0.5833333333333334,9.0,12,False
504,0.7777777777777778,12.0,9,False
