idx,state,steps,failure,mutant
0,294,10,False,alpha_0.40
1,391,13,False,alpha_0.40
2,347,16,False,alpha_0.40
3,323,11,False,alpha_0.40
4,114,11,False,alpha_0.40
5,141,14,False,alpha_0.40
6,104,10,False,alpha_0.40
7,174,12,False,alpha_0.40
8,447,16,False,alpha_0.40
9,322,13,False,alpha_0.40
10,134,11,False,alpha_0.40
11,307,16,False,alpha_0.40
12,103,14,False,alpha_0.40
13,303,16,False,alpha_0.40
14,222,10,False,alpha_0.40
15,462,16,False,alpha_0.40
16,188,15,False,alpha_0.40
17,68,14,False,alpha_0.40
18,472,7,False,alpha_0.40
19,26,12,False,alpha_0.40
20,374,17,False,alpha_0.40
21,186,12,False,alpha_0.40
22,162,8,False,alpha_0.40
23,394,11,False,alpha_0.40
24,412,12,False,alpha_0.40
25,348,17,False,alpha_0.40
26,468,11,False,alpha_0.40
27,61,17,False,alpha_0.40
28,464,13,False,alpha_0.40
29,233,13,False,alpha_0.40
30,153,16,False,alpha_0.40
31,282,15,False,alpha_0.40
32,107,13,False,alpha_0.40
33,403,16,False,alpha_0.40
34,129,15,False,alpha_0.40
35,14,11,False,alpha_0.40
36,223,14,False,alpha_0.40
37,161,15,False,alpha_0.40
38,112,15,False,alpha_0.40
39,173,12,False,alpha_0.40
40,92,13,False,alpha_0.40
41,3,14,False,alpha_0.40
42,313,12,False,alpha_0.40
43,2,16,False,alpha_0.40
44,124,16,False,alpha_0.40
45,393,13,False,alpha_0.40
46,32,14,False,alpha_0.40
47,211,17,False,alpha_0.40
48,402,14,False,alpha_0.40
49,341,8,False,alpha_0.40
50,94,6,False,alpha_0.40
51,346,15,False,alpha_0.40
52,87,11,False,alpha_0.40
53,148,18,False,alpha_0.40
54,443,15,False,alpha_0.40
55,33,10,False,alpha_0.40
56,74,15,False,alpha_0.40
57,152,15,False,alpha_0.40
58,226,15,False,alpha_0.40
59,54,13,False,alpha_0.40
60,22,14,False,alpha_0.40
61,383,8,False,alpha_0.40
62,1,14,False,alpha_0.40
63,154,17,False,alpha_0.40
64,486,15,False,alpha_0.40
65,387,13,False,alpha_0.40
66,88,17,False,alpha_0.40
67,369,16,False,alpha_0.40
68,43,12,False,alpha_0.40
69,268,9,False,alpha_0.40
70,269,16,False,alpha_0.40
71,314,10,False,alpha_0.40
72,272,17,False,alpha_0.40
73,371,11,False,alpha_0.40
74,27,12,False,alpha_0.40
75,327,10,False,alpha_0.40
76,183,12,False,alpha_0.40
77,382,13,False,alpha_0.40
78,126,17,False,alpha_0.40
79,123,17,False,alpha_0.40
80,427,13,False,alpha_0.40
81,484,13,False,alpha_0.40
82,102,15,False,alpha_0.40
83,29,12,False,alpha_0.40
84,409,12,False,alpha_0.40
85,262,13,False,alpha_0.40
86,363,6,False,alpha_0.40
87,12,13,False,alpha_0.40
88,244,13,False,alpha_0.40
89,201,11,False,alpha_0.40
90,474,17,False,alpha_0.40
91,89,8,False,alpha_0.40
92,52,13,False,alpha_0.40
93,203,16,False,alpha_0.40
94,231,12,False,alpha_0.40
95,306,12,False,alpha_0.40
96,432,12,False,alpha_0.40
97,7,17,False,alpha_0.40
98,423,10,False,alpha_0.40
99,434,17,False,alpha_0.40
100,452,9,False,alpha_0.40
101,444,10,False,alpha_0.40
102,263,16,False,alpha_0.40
103,249,12,False,alpha_0.40
104,228,10,False,alpha_0.40
105,194,14,False,alpha_0.40
106,267,12,False,alpha_0.40
107,384,9,False,alpha_0.40
108,414,8,False,alpha_0.40
109,221,16,False,alpha_0.40
110,127,14,False,alpha_0.40
111,368,16,False,alpha_0.40
112,429,13,False,alpha_0.40
113,362,16,False,alpha_0.40
114,51,13,False,alpha_0.40
115,401,17,False,alpha_0.40
116,254,12,False,alpha_0.40
117,4,14,False,alpha_0.40
118,312,14,False,alpha_0.40
119,146,9,False,alpha_0.40
120,291,8,False,alpha_0.40
121,446,10,False,alpha_0.40
122,229,16,False,alpha_0.40
123,283,12,False,alpha_0.40
124,493,17,False,alpha_0.40
125,67,14,False,alpha_0.40
126,204,12,False,alpha_0.40
127,424,13,False,alpha_0.40
128,131,13,False,alpha_0.40
129,422,14,False,alpha_0.40
130,187,18,False,alpha_0.40
131,284,11,False,alpha_0.40
132,469,13,False,alpha_0.40
133,334,12,False,alpha_0.40
134,34,13,False,alpha_0.40
135,388,14,False,alpha_0.40
136,106,14,False,alpha_0.40
137,81,13,False,alpha_0.40
138,133,14,False,alpha_0.40
139,392,13,False,alpha_0.40
140,48,16,False,alpha_0.40
141,167,13,False,alpha_0.40
142,252,17,False,alpha_0.40
143,441,15,False,alpha_0.40
144,311,11,False,alpha_0.40
145,413,15,False,alpha_0.40
146,82,12,False,alpha_0.40
147,242,13,False,alpha_0.40
148,489,18,False,alpha_0.40
149,366,12,False,alpha_0.40
150,487,15,False,alpha_0.40
151,163,12,False,alpha_0.40
152,101,14,False,alpha_0.40
153,13,12,False,alpha_0.40
154,482,12,False,alpha_0.40
155,351,11,False,alpha_0.40
156,492,8,False,alpha_0.40
157,364,17,False,alpha_0.40
158,407,18,False,alpha_0.40
159,324,13,False,alpha_0.40
160,411,12,False,alpha_0.40
161,328,17,False,alpha_0.40
162,372,17,False,alpha_0.40
163,361,14,False,alpha_0.40
164,302,16,False,alpha_0.40
165,42,13,False,alpha_0.40
166,404,15,False,alpha_0.40
167,182,14,False,alpha_0.40
168,281,16,False,alpha_0.40
169,122,18,False,alpha_0.40
170,494,10,False,alpha_0.40
171,332,14,False,alpha_0.40
172,321,13,False,alpha_0.40
173,373,16,False,alpha_0.40
174,488,9,False,alpha_0.40
175,349,17,False,alpha_0.40
176,132,11,False,alpha_0.40
177,386,12,False,alpha_0.40
178,253,11,False,alpha_0.40
179,171,11,False,alpha_0.40
180,353,12,False,alpha_0.40
181,6,13,False,alpha_0.40
182,266,14,False,alpha_0.40
183,454,15,False,alpha_0.40
184,72,12,False,alpha_0.40
185,41,14,False,alpha_0.40
186,463,8,False,alpha_0.40
187,442,12,False,alpha_0.40
188,191,13,False,alpha_0.40
189,149,12,False,alpha_0.40
190,286,13,False,alpha_0.40
191,273,15,False,alpha_0.40
192,8,17,False,alpha_0.40
193,209,13,False,alpha_0.40
194,274,12,False,alpha_0.40
195,329,15,False,alpha_0.40
196,241,11,False,alpha_0.40
197,342,12,False,alpha_0.40
198,189,11,False,alpha_0.40
199,66,11,False,alpha_0.40
200,23,14,False,alpha_0.40
201,227,17,False,alpha_0.40
202,31,9,False,alpha_0.40
203,214,14,False,alpha_0.40
204,169,11,False,alpha_0.40
205,11,12,False,alpha_0.40
206,246,12,False,alpha_0.40
207,172,8,False,alpha_0.40
208,208,16,False,alpha_0.40
209,308,14,False,alpha_0.40
210,289,14,False,alpha_0.40
211,248,13,False,alpha_0.40
212,62,12,False,alpha_0.40
213,467,15,False,alpha_0.40
214,453,13,False,alpha_0.40
215,271,17,False,alpha_0.40
216,326,15,False,alpha_0.40
217,461,14,False,alpha_0.40
218,184,15,False,alpha_0.40
219,181,14,False,alpha_0.40
220,421,13,False,alpha_0.40
221,232,12,False,alpha_0.40
222,128,11,False,alpha_0.40
223,44,15,False,alpha_0.40
224,166,12,False,alpha_0.40
225,449,10,False,alpha_0.40
226,113,12,False,alpha_0.40
227,24,18,False,alpha_0.40
228,73,14,False,alpha_0.40
229,451,12,False,alpha_0.40
230,473,10,False,alpha_0.40
231,466,10,False,alpha_0.40
232,304,17,False,alpha_0.40
233,193,10,False,alpha_0.40
234,109,15,False,alpha_0.40
235,213,11,False,alpha_0.40
236,168,11,False,alpha_0.40
237,288,12,False,alpha_0.40
238,352,15,False,alpha_0.40
239,448,13,False,alpha_0.40
240,93,17,False,alpha_0.40
241,426,12,False,alpha_0.40
242,483,15,False,alpha_0.40
243,261,16,False,alpha_0.40
244,491,15,False,alpha_0.40
245,84,12,False,alpha_0.40
246,301,16,False,alpha_0.40
247,192,12,False,alpha_0.40
248,47,14,False,alpha_0.40
249,292,13,False,alpha_0.40
250,309,12,False,alpha_0.40
251,406,9,False,alpha_0.40
252,63,15,False,alpha_0.40
253,143,17,False,alpha_0.40
254,331,17,False,alpha_0.40
255,121,14,False,alpha_0.40
256,86,13,False,alpha_0.40
257,207,13,False,alpha_0.40
258,151,18,False,alpha_0.40
259,247,17,False,alpha_0.40
260,202,17,False,alpha_0.40
261,164,8,False,alpha_0.40
262,471,16,False,alpha_0.40
263,287,12,False,alpha_0.40
264,46,16,False,alpha_0.40
265,91,13,False,alpha_0.40
266,83,10,False,alpha_0.40
267,142,16,False,alpha_0.40
268,111,13,False,alpha_0.40
269,293,10,False,alpha_0.40
270,408,17,False,alpha_0.40
271,344,12,False,alpha_0.40
272,431,13,False,alpha_0.40
273,9,18,False,alpha_0.40
274,224,17,False,alpha_0.40
275,481,13,False,alpha_0.40
276,206,11,False,alpha_0.40
277,389,11,False,alpha_0.40
278,212,7,False,alpha_0.40
279,243,14,False,alpha_0.40
280,354,9,False,alpha_0.40
281,108,13,False,alpha_0.40
282,64,17,False,alpha_0.40
283,147,12,False,alpha_0.40
284,428,14,False,alpha_0.40
285,28,17,False,alpha_0.40
286,21,15,False,alpha_0.40
287,333,11,False,alpha_0.40
288,251,17,False,alpha_0.40
289,367,17,False,alpha_0.40
290,71,10,False,alpha_0.40
291,433,15,False,alpha_0.40
292,69,8,False,alpha_0.40
293,343,9,False,alpha_0.40
294,144,13,False,alpha_0.40
295,234,16,False,alpha_0.40
296,49,11,False,alpha_0.40
297,53,7,False,alpha_0.40
298,381,12,False,alpha_0.40
299,264,15,False,alpha_0.40
